,方法一,方法二,真实值
0,0.9499999999999999972244424384,-14848274858.21066830907257554,"(0.8477738781138273, 3.3263228352388766e-09)"
1,0.3999999999999999944488848769,742413743.9105334566658703360,"(0.45761130609430856, 6.189960354221759e-11)"
2,0.1833333333333333250066606486,-37120686.69552667489390559753,"(0.310452768028597, 1.0461838100546225e-09)"
3,0.0499999999999999888977697538,1856034.668109667181059215858,"(0.23447736159922572, 1.1511793570278559e-09)"
4,-0.0500000000000000138777878078,-92801.48340548336420449185053,"(0.18827613192003878, 1.351708231287073e-11)"
5,-0.1333333333333333499866787027,4640.274170274168467800451518,"(0.15725286007066475, 1.5877124295648416e-13)"
6,-0.2071428571428571622860457880,-231.8470418470417696027039703,"(0.13499449985360965, 1.8605626750708806e-15)"
7,-0.2750000000000000222044604925,11.73520923520923198078286578,"(0.11825027500731954, 1.3128417798138286e-15)"
8,-0.3388888888888889138689069429,-0.4617604617604616316108920185,"(0.10519859736074516, 1.167939049481705e-15)"
9,-0.4000000000000000277555756156,0.1341991341991341939732984533,"(0.09474007013196276, 1.0518260721510715e-15)"
